complaint_type_x,complaint_type_y,descriptor_x,descriptor_y,incident_address
Building/Use,Noise - Residential,Illegal Conversion Of Residential Building/Space,Loud Music/Party,114-19 126 STREET
Building/Use,Noise - Residential,Illegal Conversion Of Residential Building/Space,Banging/Pounding,206-09 46 AVENUE
Elevator,Noise - Residential,Elevator - Defective/Not Working,Loud Television,1032 ALDUS STREET
DOOR/WINDOW,Noise - Residential,DOOR,Loud Television,1032 ALDUS STREET
DOOR/WINDOW,Noise - Residential,DOOR,Loud Television,1032 ALDUS STREET
DOOR/WINDOW,Noise - Residential,DOOR,Loud Television,1032 ALDUS STREET
Scaffold Safety,Noise - Residential,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Loud Music/Party,1401 OCEAN AVENUE
Scaffold Safety,Noise - Residential,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Loud Talking,1401 OCEAN AVENUE
Elevator,Noise - Residential,Elevator - Defective/Not Working,Banging/Pounding,155 LINDEN BOULEVARD
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,155 LINDEN BOULEVARD
PAINT/PLASTER,Noise - Residential,WALL,Banging/Pounding,155 LINDEN BOULEVARD
UNSANITARY CONDITION,Noise - Residential,MOLD,Banging/Pounding,155 LINDEN BOULEVARD
PAINT/PLASTER,Noise - Residential,CEILING,Banging/Pounding,155 LINDEN BOULEVARD
WATER LEAK,Noise - Residential,SLOW LEAK,Banging/Pounding,155 LINDEN BOULEVARD
FLOORING/STAIRS,Noise - Residential,FLOOR,Banging/Pounding,155 LINDEN BOULEVARD
GENERAL,Noise - Residential,CABINET,Banging/Pounding,155 LINDEN BOULEVARD
PAINT/PLASTER,Noise - Residential,CEILING,Banging/Pounding,155 LINDEN BOULEVARD
UNSANITARY CONDITION,Noise - Residential,PESTS,Banging/Pounding,155 LINDEN BOULEVARD
DOOR/WINDOW,Noise - Residential,DOOR,Banging/Pounding,155 LINDEN BOULEVARD
PLUMBING,Noise - Residential,BATHTUB/SHOWER,Banging/Pounding,155 LINDEN BOULEVARD
Elevator,Noise - Residential,Elevator - Defective/Not Working,Loud Music/Party,2036 CRUGER AVENUE
PAINT/PLASTER,Noise - Residential,WALL,Loud Music/Party,2036 CRUGER AVENUE
PAINT/PLASTER,Noise - Residential,WALL,Loud Music/Party,2036 CRUGER AVENUE
DOOR/WINDOW,Noise - Residential,DOOR,Loud Music/Party,2036 CRUGER AVENUE
GENERAL,Noise - Residential,CABINET,Loud Music/Party,2036 CRUGER AVENUE
Elevator,Noise - Residential,Elevator - Defective/Not Working,Loud Music/Party,2036 CRUGER AVENUE
Building/Use,Noise - Residential,Illegal. Commercial Use In Resident Zone,Loud Music/Party,2318 VALENTINE AVENUE
Building/Use,Noise - Residential,No Certificate Of Occupancy/Illegal/Contrary To CO,Banging/Pounding,206-41 46 AVENUE
Building/Use,Noise - Residential,No Certificate Of Occupancy/Illegal/Contrary To CO,Banging/Pounding,206-41 46 AVENUE
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Banging/Pounding,206-41 46 AVENUE
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Banging/Pounding,206-41 46 AVENUE
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Banging/Pounding,206-41 46 AVENUE
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Banging/Pounding,206-41 46 AVENUE
UNSANITARY CONDITION,Noise - Residential,PESTS,Loud Music/Party,227 EAST 203 STREET
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,239 OCEAN AVENUE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,239 OCEAN AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,239 OCEAN AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,239 OCEAN AVENUE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,239 OCEAN AVENUE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,239 OCEAN AVENUE
UNSANITARY CONDITION,Noise - Residential,PESTS,Loud Music/Party,83-43 118 STREET
UNSANITARY CONDITION,Noise - Residential,PESTS,Banging/Pounding,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,83-43 118 STREET
UNSANITARY CONDITION,Noise - Residential,PESTS,Loud Music/Party,83-43 118 STREET
UNSANITARY CONDITION,Noise - Residential,PESTS,Banging/Pounding,83-43 118 STREET
ELECTRIC,Noise - Residential,POWER OUTAGE,Loud Music/Party,83-43 118 STREET
ELECTRIC,Noise - Residential,POWER OUTAGE,Banging/Pounding,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,83-43 118 STREET
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,83-43 118 STREET
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Loud Music/Party,83-43 118 STREET
UNSANITARY CONDITION,Noise - Residential,GARBAGE/RECYCLING STORAGE,Banging/Pounding,83-43 118 STREET
